show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,Duration in Mins,First Category,Murder Mystery?
s8110,TV Show,Strongland,N/A,,United States,"Friday, 18 January 2019",2018,TV-PG,1 Season,"Docuseries, International TV Shows",,Docuseries,No
s8176,TV Show,The 2000s,N/A,,United States,"Tuesday, 19 February 2019",2018,TV-MA,1 Season,Docuseries,,Docuseries,No
s8200,TV Show,The Bachelor,N/A,,United States,"Sunday, 1 December 2019",2009,TV-14,1 Season,"Reality TV, Romantic TV Shows",,Reality TV,No
s8288,TV Show,The Eighties,N/A,,United States,"Sunday, 30 September 2018",2016,TV-PG,1 Season,Docuseries,,Docuseries,No
s8429,TV Show,The Mortified Guide,N/A,,United States,"Wednesday, 14 February 2018",2018,TV-MA,1 Season,Docuseries,,Docuseries,No
s8440,TV Show,The Nineties,N/A,,United States,"Sunday, 30 September 2018",2017,TV-14,1 Season,Docuseries,,Docuseries,No
s8504,TV Show,The Seventies,N/A,,United States,"Sunday, 30 September 2018",2015,TV-PG,1 Season,Docuseries,,Docuseries,No
s8610,TV Show,Towies,N/A,,United States,"Wednesday, 27 December 2017",2016,TV-MA,1 Season,"International TV Shows, Reality TV",,International TV Shows,No
s86,TV Show,Pokémon Master Journeys: The Series,N/A,"Ikue Otani, Sarah Natochenny, Zeno Robinson, Cherami Leigh, James Carter Cathcart, Michele Knotz, Rodger Parsons, Ray Chase, Casey Mongillo, Tara Sands",United States,"Friday, 10 September 2021",2021,TV-Y7,1 Season,"Anime Series, Kids' TV",,Anime Series,No
s185,TV Show,Sparking Joy,N/A,Marie Kondo,United States,"Tuesday, 31 August 2021",2021,TV-PG,1 Season,Reality TV,,Reality TV,No
s188,TV Show,The Ingenuity of the Househusband,N/A,Kenjiro Tsuda,United States,"Sunday, 29 August 2021",2021,TV-G,1 Season,"International TV Shows, TV Comedies",,International TV Shows,No
s246,TV Show,Korean Cold Noodle Rhapsody,N/A,Paik Jong-won,United States,"Friday, 20 August 2021",2021,TV-PG,1 Season,"Docuseries, International TV Shows",,Docuseries,No
s377,TV Show,Transformers: War for Cybertron: Kingdom,N/A,"Jake Foushee, Jason Marnocha, Linsay Rousseau, Joe Zieja, Frank Todaro, Bill Rogers, Keith Silverstein, Edward Bosco, Tessho Genda, Ryohei Kimura, Kikuko Inoue, Kazuhiko Inoue, Chafurin",United States,"Thursday, 29 July 2021",2021,TV-Y7,1 Season,Anime Series,,Anime Series,No
s400,TV Show,Masters of the Universe: Revelation,N/A,"Mark Hamill, Lena Headey, Chris Wood, Sarah Michelle Gellar, Liam Cunningham, Stephen Root, Diedrich Bader, Griffin Newman, Tiffany Smith, Henry Rollins, Alan Oppenheimer, Susan Eisenberg, Alicia Silverstone, Justin Long, Jason Mewes, Phil LaMarr, Tony Todd, Cree Summer, Kevin Michael Richardson, Kevin Conroy, Harley Quinn Smith",United States,"Friday, 23 July 2021",2021,TV-PG,1 Season,"TV Action & Adventure, TV Sci-Fi & Fantasy",,TV Action & Adventure,No
s401,TV Show,Revelations: The Masters of the Universe: Revelation Aftershow,N/A,"Kevin Smith, Tiffany Smith, Robert David, Sarah Michelle Gellar, Chris Wood, Liam Cunningham, Alan Oppenheimer, Lena Headey, Kevin Conroy, Henry Rollins, Jason Mewes, Stephen Root, Mark Hamill",United States,"Friday, 23 July 2021",2021,TV-PG,1 Season,"Anime Series, Stand-Up Comedy & Talk Shows",,Anime Series,No
s648,TV Show,The Parisian Agency: Exclusive Properties,N/A,"Olivier Kretz, Sandrine Kretz, Valentin Kretz, Martin Kretz, Louis Kretz",United States,"Wednesday, 23 June 2021",2021,TV-G,1 Season,"International TV Shows, Reality TV",,International TV Shows,No
s836,TV Show,Eden,N/A,"Marika Kono, Kentaro Ito, Kyoko Hikami, Tarusuke Shingaki, Koichi Yamadera, Yuuki Kuwahara, Yuhko Kaida, Ruby Rose Turner, David Tennant, Rosario Dawson, JP Karliak, Neil Patrick Harris, Cassandra Lee Morris, Julie Nathanson",United States,"Thursday, 27 May 2021",2021,TV-PG,1 Season,"Anime Series, International TV Shows",,Anime Series,No
s968,TV Show,Headspace Guide to Sleep,N/A,Evelyn Lewis Prieto,United States,"Wednesday, 28 April 2021",2021,TV-G,1 Season,"Docuseries, Science & Nature TV",,Docuseries,No
s1026,TV Show,Bakugan: Geogan Rising,N/A,"Jonah Wineberg, Margarita Valderrama, Deven Christian Mack, Jaimee Joe Gonzaga, Sharjil Rasool, Will Bowes, Jason Deline, Dan Petronijevic, Carling Doubt, Joshua Graham, Cory Doran",United States,"Friday, 16 April 2021",2021,TV-Y7,1 Season,"Anime Series, Kids' TV",,Anime Series,No
s1182,TV Show,Country Comfort,N/A,"Katharine McPhee, Eddie Cibrian, Ricardo Hurtado, Jamie Martin Mann, Griffin McIntyre, Shiloh Verrico, Pyper Braun, Janet Varney, Eric Balfour",United States,"Friday, 19 March 2021",2021,TV-PG,1 Season,TV Comedies,,TV Comedies,No
s1275,TV Show,Canine Intervention,N/A,Jas Leverette,United States,"Wednesday, 24 February 2021",2021,TV-PG,1 Season,Reality TV,,Reality TV,No
s1443,TV Show,Korean Pork Belly Rhapsody,N/A,Paik Jong-won,United States,"Monday, 4 January 2021",2020,TV-G,1 Season,"Docuseries, International TV Shows",,Docuseries,No
s1456,TV Show,Headspace Guide to Meditation,N/A,Andy Puddicombe,United States,"Friday, 1 January 2021",2021,TV-G,1 Season,"Docuseries, Science & Nature TV",,Docuseries,No
s1477,TV Show,Best Leftovers Ever!,N/A,"Jackie Tohn, David So, Rosemary Shrager",United States,"Wednesday, 30 December 2020",2020,TV-G,1 Season,Reality TV,,Reality TV,Yes
s1483,TV Show,Transformers: War for Cybertron: Earthrise,N/A,"Jake Foushee, Jason Marnocha, Linsay Rousseau, Joe Zieja, Frank Todaro, Bill Rogers, Keith Silverstein, Edward Bosco, Tessho Genda, Ryohei Kimura, Kikuko Inoue, Kazuhiko Inoue, Chafurin",United States,"Wednesday, 30 December 2020",2020,TV-Y7,1 Season,Anime Series,,Anime Series,No
s1673,TV Show,Voices of Fire,N/A,Pharrell Williams,United States,"Friday, 20 November 2020",2020,TV-PG,1 Season,"Docuseries, Reality TV",,Docuseries,No
s1685,TV Show,Holiday Home Makeover with Mr. Christmas,N/A,Benjamin Bradley,United States,"Wednesday, 18 November 2020",2020,TV-G,1 Season,Reality TV,,Reality TV,No
s1980,TV Show,The American Barbecue Showdown,N/A,"Lyric Lewis, Rutledge Wood",United States,"Friday, 18 September 2020",2020,TV-G,1 Season,Reality TV,,Reality TV,No
s1995,TV Show,Sing On!,N/A,Tituss Burgess,United States,"Wednesday, 16 September 2020",2020,TV-PG,1 Season,Reality TV,,Reality TV,No
s2124,TV Show,Dérè: An African Tale,N/A,"Weruche Opia, Gbenro Ajibade, Ireti Doyle, Keppy Ekpenyong, Carol King, Shaffy Bello, Tosan Edremoda Ugbeye, Nina Iphechukwude Anyianuka, Pearl Nkiru Waturuocha, Emmanuel Ikubese, Omowunmi Dada, Paul Adams, Charles Ukpong, Monica Friday, Kevin Ushi",United States,"Saturday, 15 August 2020",2016,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",,International TV Shows,No
s2157,TV Show,Tiny Creatures,N/A,Mike Colter,United States,"Friday, 7 August 2020",2020,TV-PG,1 Season,"Docuseries, Science & Nature TV, TV Action & Adventure",,Docuseries,No
s2193,TV Show,Transformers: War For Cybertron Trilogy,N/A,"Jake Foushee, Jason Marnocha, Linsay Rousseau, Joe Zieja, Frank Todaro, Bill Rogers, Keith Silverstein, Edward Bosco",United States,"Thursday, 30 July 2020",2020,TV-Y7,1 Season,Anime Series,,Anime Series,No
s2247,TV Show,Down to Earth with Zac Efron,N/A,"Zac Efron, Darin Olien",United States,"Friday, 10 July 2020",2020,TV-PG,1 Season,"Docuseries, Reality TV, Science & Nature TV",,Docuseries,No
s2358,TV Show,Floor Is Lava,N/A,Rutledge Wood,United States,"Friday, 19 June 2020",2020,TV-PG,1 Season,Reality TV,,Reality TV,No
s2575,TV Show,The Universe: Ancient Mysteries Solved,N/A,Erik Thompson,United States,"Saturday, 2 May 2020",2015,TV-PG,1 Season,"Docuseries, Science & Nature TV",,Docuseries,No
s2652,TV Show,Absurd Planet,N/A,Afi Ekulona,United States,"Wednesday, 22 April 2020",2020,TV-PG,1 Season,"Docuseries, Science & Nature TV, TV Comedies",,Docuseries,No
s3222,TV Show,Merry Happy Whatever,N/A,"Dennis Quaid, Bridgit Mendler, Brent Morin, Ashley Tisdale, Siobhan Murphy, Adam Rose, Elizabeth Ho, Hayes MacArthur, Garcelle Beauvais, Tyler Ritter, Mason Davis, Lucas Jaye",United States,"Thursday, 28 November 2019",2019,TV-PG,1 Season,TV Comedies,,TV Comedies,No
s3328,TV Show,A Year In Space,N/A,Scott Kelly,United States,"Friday, 1 November 2019",2015,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV",,Docuseries,No
